glosa,english
fekula,starch 
fekunda,fertile 
feli 1++,cat; feline 
feli-voci 1,mew 
felici 1+,happy; content; pleased 
felis (=feli) X,cat; feline 
felo 1,cork 
femi,speak; talk 
femina 1++,female; woman 
femora 1+,leg (upper); thigh 
fenako G,cheat; lie (untruth) 
fenestra 1++,window; window (computer) 
duce fenestra,main window (computer) 
fenestra-textili,curtain 
fengo G,light (n); splendor; splendour 
feno 1++G,seem; apparent; appear; appearance; look like (seem) 
fenu 1+,hay 
ferali 1+,feral; wild; savage 
feri 1++,fairy 
feria 1++,fair (bazaar); holiday; vacation 
ferma G,load 
fermenta 1+,ferment; leaven; yeast 
fero 1++,carry; bear (carry); convey; transfer; transport 
fero ana 1,bring up 
fero ci 1++,bring 
fero versi 1,fetch 
fero-kli 1,stretcher 
fero-pe 1++,carrier; porter 
fero-pla 1,tray 
feroci 1+,fierce; savage 
fertili 1++,fertile; dung (v); fertilize; manure (v); productive 
fertili-ma 1,fertilizer; dung (n); manure (n) 
feru 1++,ferrous; iron 
feru oxida 1,rust 
feru-pe 1,smith 
feru-via 1++,railway 
feru-via statio 1+,railway station 
ferugi,rust 
feruvia statio (=feru-via statio) 1X,railway station 
ferve,be hot ; fervor; fervour 
festa 1++,feast; festival; festive; festivity; fete; holiday; party 
festi (=festa) 1X,festival 
festona,festoon 
festuka,straw 
feta,bear young 
feti 1,stench 
fetidi,stinking 
fetu,fetus 
(-)fi 1++,thread; wire; filament; fiber; fibre; strand; string; strip (of something); yarn 
fi-ciklo 1,lasso 
fi-fa 1+,tassel (n); tuft; wick 
fi-gira-baci 1,spindle 
fi-margina 1+,fringe 
fi-ru 1+,string instrument 
fi-zo 1+,loop; noose; sling 
fiance 1,fiance 
fibri 1++,fibre 
fide 1++,confide; confidence; confident; entrust; faith; fidelity; loyal; loyalty; trust (confide) 
fidera (take fide) X,entrust 
fido G,stingy 
figo G,avoid 
figura 1++,figure 
fik (=face) 1X,make 
fiko G,seaweed 
fikti 1++,fiction; fictional; form (v); pretend; shape (v) 
fikti-grafo,fiction 
Fikus 1+,fig 
fila (take folia) 1GX,leaf 
filako G,guard 
filamenta (prefer short form fi),filament; thread; wire 
filemon G,friendly; loving 
fili 1++,offspring; daughter (or son); son (or daughter); child (son or daughter) 
filia (=fili) 1X,offspring 
filici 1,fern 
filma 1,film 
filo 1+G,love; affection; philo- 
filo (take folia) GX,leaf 
filosofi G,philosophy 
filosofo (=filosofi) GX,philosophy 
filtra 1++,filter 
fimbri 1,fringe; border 
fimbria (=fimbri) X,fringe 
financi 1+,financial; finance 
fini 1++,finish; end; abort; aim; complete; conclude; deadline; final; finally; goal; terminate 
fini a 1,border on 
fini-statio 1,terminus 
fio G,produce (nature) 
firma,firm 
fisa 1G,bellows 
fisa (prefer buli) 1G,bubble 
fisa (prefer fla) 1G,blow (air) 
"fisalo (=fisa, prefer buli) GX",bubble 
fisika 1++G,nature; physics 
fisio 1+G,condition (especially physical); physical; physio; nature; state (condition) 
fiska 1++,fiscal; tax 
fiska-pe 1,tax-collector 
fistula,pipe 
fisu 1++,crack (split); fissure; schism; split 
fito 1+G,plant (n); phyto- 
fixa 1++,fix; firm; clasp; record (v); solidify; splint; tight 
fixa-baci 1+,peg 
fixa-ma 1,putty 
fixa-ra 1,buckle (n); paper-clip 
fizio (=fisio) 1GX,nature; physical 
fla 1++,blow (air); draught; inflate; puff 
fla nasa 1+,blow your nose 
flabela,fan (thing for fresh air) 
flaci 1++,flaccid; floppy; weak; droop; lax; limp; slack 
flagela 1++,whip; lash 
flagra,flagrant; outrageous 
flair,flair 
flako,small bottle 
flama 1++,flame; flare 
flama-fero 1+*,match (fire); matchstick 
flami-fero (=flama-fero) 1X,match (fire); matchstick 
flanela,flannel 
flanka,flank 
flapa 1,flap 
flasc 1++,flash; lightning 
flata,flatter 
flauta,flute 
flavo,yellow 
flavora (=flavoro) 1X,flavor; flavour 
flavoro 1++,flavor; flavour 
flebi G,vein 
flegma G,phlegmatic; sluggish 
flego G,burn (v) 
flexi 1++,bend; bend (v); curve (v); flex 
flexi disko (=flexi-disko) 1X,floppy disc 
flexi disko-me (=flexi-disko-me) X,floppy drive (computer) 
flexi-disko 1,floppy disc; diskette 
flexi-disko-me,floppy drive (computer) 
flexuoso,flexible 
fliaka G,fathead 
fliro G,nonsense; senseless 
flo 1,float 
flo lento 1+,drift 
flo-stru 1,raft 
floeo G,phloem; bark 
floka 1+,flake; scale (body cover); scale (lose or remove scales) 
floresce,flourish 
flori 1++,flower; bloom; flourish 
flori-fa 1+,bouquet; bunch of flowers 
flori-va 1,flower pot 
floskula,floret 
flota,fleet 
floxi G,flame 
flu 1++,flow; current; flood; fluent; fluid; flux; running; stream (v) 
'flu 1,influenza 
flu dice 1,speak fluently 
flu lento 1,ooze 
fluidi 1+,fluid 
fluktu (prefer flu),flood; flow 
flumini,stream (n) 
fluoresce,fluoresce 
fluvi 1++,river 
fluvia (=fluvi) X,river 
flux (prefer flu),current; flow 
fo(-) (short form of forti) 1++,intense; strong; tight (strong); very; vivid 
fo ami 1,intimate 
fo fobo 1,terror 
fo ge-amo 1,popolar 
fo mega (or fo-mega) 1,vast 
fo rubi 1+,scarlet 
fo tekno 1++,brilliant (intelligent) 
fo tenta 1,try hard; make an effort 
fo-amo 1++,adoration; enjoy; fond 
fo-aqa 1,drench 
fo-busti 1,blaze 
fo-filo 1G,adoration 
fo-fla 1,blast 
fo-flu 1+,torrent 
fo-fortuna 1,probable 
fo-foto 1+G,brilliant (light); glare; shine 
fo-gravi 1,vital 
fo-gusta 1+,spice 
fo-hedo 1,radiant 
fo-klina 1++,steep 
fo-kloro 1+G,emerald (colour) 
fo-klude 1,seal 
fo-leva 1,heave 
fo-mega 1++,huge; immense; monster; vast 
fo-miso 1,loathe 
fo-pote 1+,talent 
fo-puta 1,intent 
fo-religio 1,devout 
fo-rubi 1,crimson 
fo-soni 1++,bang (sound); blare; loud 
fo-spira 1+,gasp 
fo-tenta 1++,effort; exert 
fo-valu 1++,precious 
fo-venti 1,gale 
fo-voci 1++,scream 
fo-volu 1++,desire; ambition; appetite; long (v) for; yearn 
fobo 1++G,fear; phobia; alarm; dismay; dread; fright; horror 
fobo retro 1G,quail 
fobo-mira 1,startle 
fobo-pe 1++G,coward 
fodero,lining 
fodina,mine (coal etc.); pit 
fodo G,blister; burn (n) 
foebe G,Phoebe (moon goddess) 
foedi,filthy; foul 
foka G,seal (zoo) 
Fokaena (=fokena) GX,phocaena; porpoise 
fokali,focal; focus 
fokena G,phocaena; porpoise 
foku 1+,focus; centre; fire 
"foleo (prefer fora, kaverno or kavita) G",den; cave; hole (den) 
foli,mad 
foli 1+G,bellows; scale (body cover) 
foli-pe 1+,fool 
folia 1++,foliage; leaf 
"foliage (French, take folia) X",foliage; leaf 
fomenta,give heat 
fonako G,blood-thirsty 
fonda 1++,background 
fono 1++G,-phone; sound (acoustic); aloud; voice 
fonta 1++,fountain; source; spring (source); well (water) 
plu fonta 1,human resources 
fora 1++,"hole; bore (hole); drill (v, make holes); leak; perforate; pierce; puncture "
mega fora 1,abyss 
fora-me 1,drill (machine) 
fora-ru 1++,borer; drill (tool) 
forado G,fertile 
force 1,force 
forcipi,forceps 
foresta 1,forest 
forita G,sweepings 
forma 1++,form; shape; forge; mold; mould; sculpture 
formali 1++,formal 
formati,format 
formika 1++,ant 
formoso,beautiful 
formula 1++,formula; prescription; recipe 
foro (=fero) GX,carry 
forta 1+,fort 
forti (or short form fo) 1++,intense; strong; tight (strong); very; vivid 
fortuna 1++,chance; casual; destiny; fate; fortune; likelihood; luck; probability; random 
forum 1,market place; square (public) 
fosa (=fosi) 1X,cavity; hole; pit 
foseta 1,dimple 
fosi 1++,dig; cavity; ditch; hole; moat; pit 
fosi (=fusi) 1X,pour 
fosili,fossil 
foto 1++G,light (n); light (v); bright; illuminate; photo- (light) 
foto detekti-me,light detector 
foto-grafi (=fotografi) X,photograph 
foto-grafi-me (=fotografi-me) X,camera (apparatus) 
fotografi 1++G,photograph 
fotografi-me 1+,camera (apparatus) 
fove,pit (n) 
fragaria 1+,strawberry 
fragili 1+,breaking easily; brittle 
fragma 1++G,barrier; hedge; enclosure (fences); fence; partition 
fragma-porta 1,stile 
fragmenta,fragment; bit; piece 
fragmo (=fragma) 1X,hedge 
fragra,fragrant 
frakaso,crash; smash 
frakti 1++,break; fracture; interrupt 
fraktura,fracture 
frambesi,raspberry 
"Français (pronounce ""frongsay"") 1",French 
frase 1++G,sentence; phrase; speak 
frasi (=frase) GX,sentence; phrase; speak 
fratri 1+,brother 
fraudi 1,fraud 
fraudu (=fraudi) 1X,fraud 
fraxinus,ash tree 
frea G,well (water) 
freme (=tremulo) X,tremble 
freni (=freno) 1GX,mind (n) 
freno G,mind (n) 
frenu 1,brake (v); rein (v) 
freqe 1++,frequent; often; frequency 
frescita (=fresko) X,freshen 
fresko 1++,fresh; freshen; ventilation 
freto,channel 
fri,fry 
fria 1++,crumble; smash 
friabili,powder (v) 
frig e no-gluko 1,bleak 
frigi 1++,cold; chill 
frigi-me 1,refrigerator 
frigi-tem 1++,winter 
frika 1++,friction; rub (friction); wipe; graze; scrape 
frika G,ripple 
frika-ru 1*,file (tool) 
frina G,toad 
fringila,chaffinch 
fritila,dice-box 
frivolo,frivolous 
frondo,leafy branch 
fronimo,sensible; wise 
fronta 1++,brow (forehead); forehead; front 
frontira 1,frontier 
fru 1+,enjoy; enjoyment; have a good time 
frukti 1++,fruit 
frukti horti 1,orchard 
frumentu,corn; grain 
frustra 1++,frustrate; disappoint; disappointment; disillusion; frustration 
frustu 1,bit; piece 
frutiko,shrub 
fu 1++,will (future tense); adjourn; future; postpone; shall (future tense); 'll (future tense); be going to (future tense) 
fu(-) 1+,future (tense) 
fu debi 1,shall have to 
fu ki 1,will go 
mi fu ki 1,I shall go 
fu nece 1,will have to 
fu setimana 1,next week 
fu-di 1++,tomorrow 
fu-di noktu 1,tomorrow night 
fu-noktu 1,tomorrow night 
fu-tem 1,future 
fugaci,fleeting 
fugi 1++,flee; escape; run away 
fugi ab 1,desert (v) 
fugi-pe 1,fugitive 
fuku,sea-weed 
fulge 1,flash; lightning 
fulgu (=fulge) 1X,flash; lightning 
fuligo,soot 
fulkru 1,axle; axis; central point; pivot 
fulmina 1,thunder 
fulvo,tawny 
fumi 1++,fume; smoke 
fumi tubi (=fumi-tubi) 1X,chimney; smokestack 
fumi-ma 1+,soot 
fumi-tubi 1++,chimney; smokestack 
funda 1++,bottom; found (v); base; depth; foot (lowest part); foundation; ground 
fune +,burial; bury; funeral; funereal 
funebri,burial; bury; funeral; funereal 
fungi (=fungu) 1,fungus; mushroom 
fungu 1+,fungus; mushroom 
fungus (prefer fungu),fungus 
funi,rope 
funktio 1++,function; useful; operate; operation; work (have the desired function) 
furfura,bran 
furi 1+,fury; furious; anger; wrath 
furka 1++,fork; branch off; pitchfork 
furna 1++,oven; bake; furnace; heater; stove 
furunkulo,boil (medical) 
fuselage (French),fuselage 
fusi 1++,pour; fuse; melt; shed (liquid); smelt (melt); spill 
fusi (=(fi-)gira-baci) X,spindle 
fusi-va 1,jug 
fusili 1++,gun; shoot; discharge (fire); fire (shoot); rifle 
fusili-me 1,pistol 
fusio 1+,fusion 
fusko,dark-colored 
fusta (=fusti) X,shaft; cudgel; club (stick) 
fusti,shaft; cudgel; club (stick) 
fustiga,thrash 
futili,futile (without meaning); insignificant 
futu,copulate 
futuri 1,future 
Gadus 1,cod 
gaia 1+G,earth; earth (living) 
gala (take lakti) GX,milk 
galakti (take lakti) 1GX,milk 
galante,court; woo 
galbino,yellow 
galeno G,calm 
galeri 1+,gallery 
Gales,Wales 
galina 1++,chicken; fowl 
plu galina 1,poultry 
gamba,leg 
gambado,gambol 
game 1++G,marry; marriage; wed 
game-pe 1,spouse 
game-ritu 1++,wedding 
ganglio,knot; node 
gania +,gain; win (gain) 
gano G,bright 
garage (French),garage 
garanti 1+,guarantee 
garulo 1+,chat; chatter 
Garulus 1,jay 
gasi 1++,gas; air 
gastri (=gastro) X,stomach 
gastro 1++G,stomach 
gaudi,joy 
gaze,gauze 
gazeta 1,newspaper; periodical 
gazon (French),lawn 
ge G,got 
ge- 1+,got (-ed) (participle) 
ge-akti 1,done (participle of to do) 
ge-amo 1,loved; popular 
ge-audi 1,heard (participle of to hear) 
ge-bali 1,sent (participle of to send) 
ge-debito 1,due (owed); duly; owed 
ge-dona 1,given 
ge-duce 1,led (participle of to lead) 
ge-elekti 1,chosen 
ge-face 1++,artificial; made (participle of to make) 
u ge-face 1++,produce (n) 
ge-face ex 1++,consist 
ge-favo 1++,favorite; favourite 
ge-fixa tem 1++,term 
ge-flexi 1++,bent; curved 
ge-frakti 1++,broken 
ge-fuma harenga 1,kipper 
ge-geli pluvi 1,hail 
ge-grafo 1,written 
ge-grafo akorda 1++,contract 
ge-kapti 1,caught 
ge-klavi 1++,closed (locked); shut (closed); locked 
ge-klude 1+,closed; close (closed) 
ge-klude disko,locked disk (computer) 
ge-konfesi 1,admittedly 
ge-kope pedi 1,webbed feet 
ge-kriso 1,gilded 
ge-kulti 1,cultivated 
ge-kura 1,ward of court 
ge-limita,exclusive 
ge-linqi 1,left behind; abandoned 
ge-linqi infanta 1,waif 
ge-lisi 1G,apart 
ge-lose 1,lost 
ge-merka 1,bought (participle of to buy) 
ge-mixa 1++,mixed 
ge-monstra 1,shown 
ge-nati 1++,born 
ge-noku disko,corrupt disk (computer) 
ge-noku infanti 1,spoilt child 
ge-paga 1,paid (participle of to pay) 
ge-place 1++,content 
ge-prende 1,taken 
ge-produce-ra 1+,product 
ge-promulga-ra,publication 
ge-proto 1,begun 
ge-publika-ra 1++,publication 
ge-seka dendro 1,lumber 
ge-ski 1,known 
ge-spende 1,spent (participle of to spend) 
ge-sto 1,clogged 
ge-strepto 1,sprained 
ge-stru 1,build (participle of to build) 
ge-stupe 1,dazed 
ge-suporta-pe,dependent 
ge-tena 1,held (participle of to hold); kept (participle of to keep) 
ge-tigra 1,tabby 
ge-tortu genu 1,twisted knee 
ge-trakto 1,"drawn (participle, pulled) "
ge-turba 1,agitated; anxious 
ge-uni (=ge-unio) 1X,united 
ge-unio 1,united 
ge-uti 1+,second hand; used (2nd hand) 
ge-vendo 1,sold (participle of to sell) 
ge-vide 1,seen 
gefira 1G,bridge 
gelatino,gelatine 
gelato 1+,ice-cream 
gele 1++,jelly 
geli 1++,freeze; ice (v) 
gelo (=geli) 1X,freeze 
gelo G,laugh 
gema 1++,bud; gem; jewel 
gema-bo 1+,jeweller's shop 
geme,groan 
gemini 1+,twin; twins 
gena,cheek 
gene 1++G,become; get (obtain); receive; get (become); get (passive); gets (tense); getting; access (get); accomplish; acquire; come to be; gain; obtain; procure; turn into 
gene epi 1G,mount 
gene lose 1+,stray 
gene ma-boni 1++,reform 
gene nati 1,be born ; be hatched 
gene ski 1+,learn 
gene sko 1+,learn 
gene torti 1,buckle (v) 
gene versi 1,recover 
gene vista 1,appear 
genera 1+G,generate 
generali 1++G,general; generalize; universal 
generali ski 1+,general knowledge 
generatio 1+G,generation 
generoso G,generous 
genesis G,genesis 
geneti 1++G,genetic; inherit; hereditary 
genetla G,birthday 
geniali G,delightful 
genikulato,bent (like knee) 
genista,broom plant 
genita G,genital 
genius 1+G,genius 
geno-cide G,genocide 
gentili 1++,gentle; kind; kindly; mild 
genu 1++,knee; knee-joint 
genuflekti +,kneel 
genuine (prefer veri) G,genuine 
geo 1++G,earth 
geo-ma 1,ore; mineral 
geo-turba 1,earth-quake 
geografi 1G,geography 
georgi G,farmer 
gerani G,geranium 
geri G,sound (acoustic); voice 
germina,germinate 
"gero (=gesta, prefer fero) X",carry 
gero 1G,old age 
geronto G,old man 
gesta,bear (carry); bear (behave); carry 
gestikula,gesticulate 
geusi 1G,taste (test) 
gialo (take kavita) G,hollow 
gibo,hump 
giga 1+G,million million; tremendous 
giganti 1+G,billion (UK); giant; gigantic 
gilotina (French),guillotine 
gimnasia 1G,gymnasium 
gimno 1+G,bare; naked; nude 
gina 1++G,woman; female; gyna-; lady; wife 
plu gina 1,women 
gina patri 1,father-in-law 
gingiva,gums 
ginglimo G,hinge-joint 
ginglismo G,tickle 
gingrito G,cackle (geese) 
gipso 1++G,chalk; plaster 
gira 1++G,gyrate; rotate; whirl; revolve; spin; turn; twirl 
gira ludi-ra 1,top (spinning toy) 
gira-baci 1,spindle 
gira-venti 1+,whirlwind 
girafa 1+,giraffe 
giso (prefer margina) G,border; hem 
gitara 1+,guitar 
glabro 1++,glabrous; smooth 
glabro-line 1+*,streamline 
glaci-buna (=glacia-buna) 1X,iceberg 
glacia 1++,glacial; ice; icy 
glacia-buna 1*,iceberg 
gladia 1++,sword 
gladio (=gladia) X,sword 
glafiro (take kavita) GX,hollow 
glamiro G,blear-eyed 
glandi 1+,gland; acorn 
glandu (=glandi) X,acorn; gland 
glarea 1+,gravel 
glauko G,blue-green 
glaux G,owl 
gleba,clod; lump 
glena 1+,socket; grave 
glia (prefer glu) G,glue 
glifo G,carve; engrave 
glipto 1G,sculpture 
glis,dormouse; mouse (especially dormouse) 
glisa 1++,glide; slip; slide; lapse; skate (on ice); skid; skim 
glisa-vagona 1,sledge 
gliskro G,sticky 
globa 1+,ball; globe 
globo (=globa) X,ball; globe 
globula 1++,bead 
gloci,cluck (hen) 
gloea (prefer glu),glue 
gloki 1G,arrow 
glokino G,arrow-point 
glomera,compact (v); ball (v) 
glori 1++,glory 
glosa 1++G,tongue; lick; language 
glox,beard of wheat 
glu 1++,glue; lime; stick (glue); size (glue) 
gluk odoro (=gluko odoro) 1X,perfume 
gluko 1++G,sweet; nice; comfortable; gentle; gentleness; lovely; pleasant; soft; softness; sweetness; tender; tenderness 
gluko odoro 1*,perfume 
gluko xeno 1,quaint 
gluko-ra 1,convenience; comfort (convenience); ease; prosperity 
gluma 1+,chaff; husk; bract; bran 
glutea 1+,buttocks; rump 
gluti (=gluto) X,gulp; swallow 
glutino (prefer glu),glue 
gluto 1++,gulp; swallow; greedy 
glutona 1+,glutton 
"gnata (=gnato, prefer mandibula) 1GX",jaw 
gnato (prefer mandibula) G,jaw 
gnesi (prefer veri) G,genuine; true 
gnifa G,cavity; pit 
gno (prefer ski) G,know 
gnofo G,dark (gloomy); gloomy 
gnomo G,gnome 
gnomono G,index; judge (person) 
gnosia G,wisdom 
goeto G,howl; wail 
goleo (prefer fora) G,hole 
golf 1,golf 
golfo 1,gulf; estuary 
goma (=gumi) 1X,gum 
gomfi G,molar tooth 
gomfo G,bolt; nail; peg 
gonad G,sex-gland 
gonato (prefer genu) G,knee; knee-joint; node 
gonela,skirt 
gong 1,gong 
gongilo G,ball; round 
gongro G,knot; swelling 
gonidio G,asexual spore 
gonimo G,fertile; fruitful 
gono 1++G,angle; corner; vertex 
gorgira G,drain; sewer 
gorgo G,abyss; whirlpool 
Gorila 1,gorilla 
gosipa (prefer kotona) 1G,cotton 
"gosipi (=gosipa, prefer kotona) GX",cotton 
gourmand (French),gourmand 
gourmet (French),gourmet 
governa 1,govern; control; manage; rule (authority) 
governa-ra 1,rudder 
gra 1++,grass; fodder; lawn; turf 
gra landa 1,veld 
gra-agri 1,meadow 
gra-lo 1+,pasture 
graci 1,grace 
gracili 1+,slender; slim 
gradu 1++,degree; step; at the same time as; grade; pace; stride 
graduali +,gradual 
grafi (=grafo) GX,draw (sketch); sketch (draw); write 
grafo 1++G,write; draw (sketch); design; script; sketch (draw); writing 
grafo de 1,describe 
grafo-liqi,ink 
grafo-me 1,typewriter 
grafo-mo,desktop 
grafo-pe 1+,author; writer 
plu grafo-ra 1,stationery 
grafo-ru 1++G,pen; pencil 
graft,graft 
grakulus,jackdaw 
grala,stilt 
gram,gram 
gram-ami 1+,pen-friend; pen pal 
grama 1++G,letter (mail); missive 
plu grama 1,correspondence 
grama bileta 1+,stamp (postage); postage stamp 
grama-teka 1G,letter-box 
grama-ve 1++,envelope 
gramatika 1++G,grammar 
gramini (prefer gra) 1,grass; lawn; turf 
grana 1++,grain; corn; seed 
granari,granary 
granata,pomegranate 
grandi 1++,grand; magnificent; noble; stately 
grandina,hail 
grandioso,grandiose; imposing 
granita 1+,granite 
granula,granule 
grasi,fat (grease); grease; fatty 
grasti (prefer gra) G,grass; fodder 
grata,scrape; scratch 
grati 1++,grateful 
gratia 1++,grace; thank; thanks 
gratia de 1,thank you for 
gratia-ple 1+,grateful; thankful 
gratia-ra 1+,reward 
gratioso +,graceful 
gratis 1+,gratis; for nothing; free (of charge); without payment 
gratula 1++,congratulate 
gravi 1++,grave (serious); heavy; serious; especially; important; considerable; impressive; massive; solid 
gravi mero 1*,features 
gravi persona 1,personage 
gravi pro 1++*,concern 
gravi-ma 1,matter 
gravi-soni 1,thud 
gravido,pregnant 
gravita 1+,gravity; seriousness 
Grecia,Greece 
grega 1++,group; herd; party (team); party (political); crew; flock; gang; swarm; team 
grega-volu 1,sociable 
grego (=grega) 1X,party (political) 
Greko,Greek 
gremi,bosom; lap (bosom) 
gresi 1++,walk 
gresi baci 1,walking stick 
gresi in aqa 1+,paddle; wade 
gresi lento 1,trudge 
gri,gray; grey 
grila,gril; grille; grating (n) 
grilus,cricket (animal) 
grimasa,grimace 
gripo G,curved; hooked 
grismo G,grumble 
grosi (=grosu) X,bulky; fat; greasy 
grosu 1,bulky; fat; greasy 
Grosula 1+,gooseberry 
grotesko,grotesque 
gru 1++,fit; adapt; agree; convenient; fitting; fitting (adj); install; mount; proper; property; relevant; set up; suit (v); suitable 
grumo,clot; lump 
gruni 1+,grunt 
grupa 1,batch; group 
grus,crane 
guano,guano 
guanta,glove 
guarda 1++,guard 
guarni,garnish 
guasta,spoil; waste (ravage) 
guera,war 
guerila,guerrilla 
guida,guide 
guisa,manner; way (manner) 
gule,gullet 
gulfa (=golfo) 1X,gulf; estuary 
guloso,greedy 
guma (=gumi) X,rubber 
guma (prefer palato),palate 
gumi 1++,rubber; caoutchouc; gum; resin 
gumi-botina 1*,wellington 
gumi-buti (=gumi-botina) 1X,wellington 
guno G,fertile land 
gurgita,surge; boil; abyss; whirlpool 
gurgulio,gurgle; throat 
gurgustio,hovel; hut (poor's house); shanty 
gusta 1++,taste; taste (test) 
guta 1+,drop (n); drip; drop (v); dripping; leak (v) 
gutura,throat 
habe 1++,"have (own); have the quality of; has (form of to have, own); has the quality of; 've (short for have, own); own (possess); possess; property (possessions) "
habe epi se 1++,wear 
habe sati tem 1++,afford 
habe sati valuta 1++,afford 
habe-pe 1++,proprietor; owner 
habena,strap 
habili,fit; suitable 
habita 1,dwell; inhabit; live in; occupy; settle 
habitu 1++,habit; custom 
habitua,accustom 
habitudo (=habitu) X,custom 
habrinta G,fop 
habro G,attractive; pretty 
haca,chop 
hades G,hell 
hadrino G,mature; ripen 
hafe G,contact; touch (n) 
hagio 1+G,holy; sacred 
hagio-pe 1,saint (n) 
hagno G,pure; innocent 
halato,fragrance 
Halcion 1G,kingfisher 
hali 1G,salt 
halisi G,chain 
halucina,hallucination; mind wander 
halux,big toe 
hama (prefer ko(n)) G,together with 
hama (take fi-zo (loop) or nodi (node)) GX,loop; node; sling 
hama- (prefer ko-),(prefix:) together; together (prefix) 
hamato (=hami) X,hooked 
hamaxa G,wagon 
hami,hooked 
hapalo G,gentle 
haplo 1G,simple 
hapto G,catch hold 
haptra G,wick 
hardi,be bold 
harengu 1+,herring 
haringa (=harengu) X,herring 
harmoni 1++G,harmony; agreement; have an agreement ; harmonize 
harnesa 1+,harness 
harpa 1+,harp 
harpon (=harpona) X,harpoon 
harpona,harpoon 
hasta,spear 
hausto,exhaust; suck out 
hazardo,hazard 
hebdoma G,seven; week 
hebe 1G,youth; breeding 
hebetato,weakened 
Hebreo,Hebrew 
Hedera 1+,ivy 
hedi G,nice; sweet 
hedo 1++G,fun (feeling); pleasure; gay (happy); glad; glee; good-humoured; happiness; happy; joy; like to; merry; pleasant; pleased; rejoice 
hedo itinera 1,excursion 
hedo nati-di 1+,happy birthday 
hedo-soni 1,purr 
hedra G,base; seat (n) 
hegemoni G,leading 
hekasto G,each; every 
hekisto G,least 
hektiko +G,habitual 
hekto +,hundred 
hekto anua +,century 
hektopedi,centipede 
Heleni,G Greek 
Helenia G,Greece 
heli 1++G,sun; solar 
heli-foto 1,sunlight 
heli-radia 1,sunshine; sun-ray 
helika 1++G,helix; coil; propeller; spiral 
helika-baci 1+,bolt 
helikopter 1++,helicopter 
heliku 1++,helix; screw 
helio (=heli) 1GX,sun 
"helio-di (take ""di mo"") X",Sunday 
"helminti (=helminto, prefer vermi) 1GX",worm 
helminto (prefer vermi) G,worm 
helo G,marsh; meadow 
helota G,slave 
Helvetia,Switzerland 
helvo G,pale yellow 
hema 1++G,blood 
hema-sugo *,blood-sucker 
hema-tubi 1,blood vessel 
hemato G,blood red ; red 
hemato (=hema) GX,blood 
hemera 1G,day 
hemi (=semi) 1GX,half 
hemi- (=semi-) GX,(prefix:) half; half (prefix); hemi-; semi- 
Hemiptera 1+G,bedbug; bed-bug; bug (bedbug) 
hemo (=hema) 1GX,blood 
hepa 1+G,liver 
hepati (=hepa) GX,liver 
hepta G,seven 
herba 1++,herb; grass; plant (n) 
herboriza,gather herbs 
heredi 1+,heir; inherit 
heredi-pe 1,heir 
heresi,heresy 
herko G,barrier; wall 
herma G,prop; stay 
hermoso (Spanish),beautiful 
hernia G,rupture 
hero 1++G,hero 
herpe G,creep; glide 
herpeto G,reptile 
hesi 1++,adhesive; stick (join); sticky; adhere; cling; glue (v) 
hesiko G,quiet; still (quiet) 
hesita 1+,hesitate; doubt; sticky 
hesmo G,flock; swarm 
hespero G,evening; west 
hestia G,fireside; hearth 
hestiko G,agreeable 
hesto G,glad 
hetero 1++G,different; other; another; differ; difference; else; otherwise 
hetero-co 1+G,otherwise 
hetero-lo 1G,elsewhere 
heuresi G,detect; discover; discovery 
hexa G,six 
hexis G,condition (especially physical); state (condition) 
hialo 1G,glass 
hiao 1+G,yawn 
hiatu G,gap; abyss; opening 
hiberna 1+G,winter; wintry 
Hibernia,Ireland 
hibiskus G,mallow 
hibrida G,hybrid 
hidra-tubi 1G,hydrant 
hidrargiro G,mercury (Hg) 
hidro 1+G,water (n); liquid; wet 
hiemi G,winter 
hiera 1G,priest 
hierarki 1+,hierarchy 
hierax G,hawk 
hieri (=hiera) 1GX,priest 
hiero G,sacred 
hieto 1G,rain 
hifa G,web 
hifen 1G,hyphen 
higie 1+G,health 
higro 1G,wet; moisture; wet (v) 
hikano G,able; fit 
hilario,cheer; cheerful 
hilo (prefer xilo (wood) or materia (matter)) 1G,matter; substance; wood (substance) 
hilu,trifle; scar 
himanto G,leather strap 
himen G,marriage 
himeno G,membrane 
himna (=himno) GX,hymn; song of praise 
himno G,hymn; song of praise 
hiper 1+G,above; over 
hiper- 1G,(prefix:) above; above (prefix); (prefix:) excessive; excessive (prefix) 
hipidio G,pony 
Hipo (=Equs) 1GX,horse 
hipo 1G,below; beneath; under 
hipo- 1G,(prefix:) below; below (prefix); (prefix:) under; under (prefix) 
Hipopotamus 1,hippopotamus 
hipotesi G,hypothesis 
hipso 1G,high; altitude 
hirax G,shrew 
hirkus (prefer kapri) G,goat 
hirpika G,harrow 
hirsuto,hairy 
hirudo,leech 
hirundo,swallow (bird) 
hisce,gape; open (v) 
Hispano,Spanish 
histera 1G,womb 
histeri (=histera) 1GX,womb 
histero G,after; later 
histo 1G,texture; tissue; weave; web 
histori 1++G,history; story; historical; narrative; report 
histrio G,acting 
histrix G,porcupine 
hobi 1+,hobby 
hodo G,journey; way (road) 
hoi-poloi G,the masses 
hoki 1,hockey 
holko G,furrow 
holo 1++G,whole; complete; absolute; completely; entire; quite; total; utter (whole); wholly 
un holo 1,on the whole ; generally 
holo aperi 1,wide open 
